SN1998bu 29.97 0.46 0.01 11.65 1.03 0.02
SN1999cl 30.62 0.39 0.03 13.08 1.17 0.07
SN1999cp 33.05 0.11 0.04 14.32 0.97 0.07
SN1999ee 33.32 0.10 0.01 14.65 0.96 0.01
SN1999ek 34.32 0.06 0.02 15.54 1.14 0.03
SN1999gp 35.31 0.04 0.03 16.31 0.86 0.04
SN2000E 32.00 0.18 0.04 12.91 1.08 0.05
SN2000bh 34.90 0.05 0.05 16.22 1.1 0.09
SN2000bk 35.27 0.04 0.07 16.78 1.47 0.1
SN2000ca 34.98 0.05 0.03 16.0 0.95 0.04
SN2000ce 34.28 0.06 0.05 16.1 0.99 0.08
SN2001V 34.17 0.07 0.04 14.95 0.83 0.05
SN2001ah 37.03 0.02 0.05 18.05 0.98 0.08
SN2001az 36.21 0.03 0.04 17.45 1.08 0.06
SN2001ba 35.46 0.04 9.99 16.65 1.02 0.02
SN2001bf 34.05 0.07 0.04 14.86 0.99 0.06
SN2001bt 33.86 0.08 0.03 15.22 1.12 0.03
SN2001cn 33.98 0.14 0.04 15.25 1.07 0.05
SN2001cz 34.01 0.07 0.03 15.18 0.94 0.03
SN2001eh 35.96 0.03 0.03 16.98 0.92 0.06
SN2001el 30.67 0.33 0.03 12.8 1.15 0.03
SN2001en 34.08 0.07 0.05 15.31 1.11 0.07
SN2001ep 33.68 0.08 0.02 14.95 1.29 0.06
SN2001fe 33.91 0.08 0.03 15.02 1.0 0.07
SN2002bo 31.87 0.19 0.03 13.57 1.08 0.04
SN2002ck 35.55 0.04 0.05 16.69 1.08 0.09
SN2002cr 33.19 0.11 0.03 14.43 1.18 0.06
SN2002dj 33.03 0.11 0.04 14.21 1.18 0.05
SN2002dp 33.22 0.10 0.02 14.61 1.12 0.04
SN2002ha 33.75 0.08 0.02 14.92 1.21 0.04
SN2002hd 35.94 0.03 0.05 17.04 1.16 0.11
SN2002he 35.12 0.04 0.05 16.57 1.44 0.06
SN2002hu 36.08 0.03 0.03 17.02 1.05 0.03
SN2002hw 34.18 0.07 0.05 16.05 1.44 0.08
SN2002jy 34.65 0.05 0.03 15.98 0.87 0.06
