2020.83   16.419 0.090 16.807 0.043 16.740  0.010 16.694  0.015  16.771  0.017    
2021.74   16.419 0.034 16.765 0.020 16.732  0.010 16.695  0.006  16.802  0.010
2022.89   16.492 0.090 16.687 0.050 16.643  0.020 16.635  0.040  16.783  0.050
2023.84   16.548 0.090 16.724 0.070 16.640  0.020 16.661  0.030  16.781  0.020
2024.82   16.614 0.090 16.709 0.040 16.647  0.020 16.626  0.020  16.829  0.030
2025.79   16.672 0.090 16.737 0.030 16.666  0.020 16.692  0.020  16.868  0.050
2026.73   16.733 0.090 16.766 0.020 16.664  0.020 16.659  0.030  16.855  0.040
2028.7    16.865 0.090 16.841 0.100 16.699  0.080 16.717  0.100  16.884  0.010
2030.63   16.990 0.090 16.913 0.040 16.734  0.020 16.775  0.030  16.937  0.040
2032.58   17.128 0.090 17.065 0.050 16.799  0.030 16.860  0.030  16.952  0.050
2037.43   17.503 0.040 17.290 0.050 16.939  0.030 16.948  0.020  17.102  0.040
2039.35   17.620 0.090 17.535 0.080 16.945  0.050 16.963  0.040  17.057  0.070
2041.23   17.767 0.090 17.647 0.040 17.089  0.050 16.963  0.100  17.072  0.010
2043.22   17.925 0.090 17.810 0.100 17.143  0.020 16.968  0.020  17.093  0.050
2045.17   18.070 0.090 17.952 0.050 17.266  0.030 17.006  0.020  17.024  0.040
2047.1    18.236 0.090 18.134 0.040 17.298  0.040 17.015  0.030  16.969  0.040
2050.95   18.557 0.090 18.250 0.050 17.424  0.030 17.123  0.020  16.902  0.040
2058.71   18.861 0.100 18.554 0.080 17.794  0.040 17.385  0.020  17.138  0.040
2063.59   19.080 0.100 18.773 0.080 18.064  0.070 17.629  0.040  17.251  0.060
2068.4    19.332 0.100 19.025 0.070 18.117  0.060 17.813  0.030  17.506  0.060
2073.21   19.378 0.100 19.071 0.070 18.219  0.070 18.008  0.030  17.805  0.060
2074.24   19.300 0.200 18.993 0.060 18.153  0.060 18.099  0.050  17.604  0.050
2078.07   19.397 0.200 19.090 0.200 18.250  0.070 18.180  0.050  17.804  0.060
2137.23   20.417 0.200 20.110 0.130 19.520  0.100 19.390  0.080  19.030  0.090
