#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid K-correction
2020.83  16.827  0.015  0
2021.74  16.829  0.006  0
2022.89  16.766  0.040  0
2023.84  16.791  0.030  0
2024.82  16.755  0.020  0
2025.79  16.823  0.020  0
2026.73  16.790  0.030  0
2030.63  16.916  0.030  0
2032.58  16.997  0.030  0
2037.43  17.071  0.020  0
2039.35  17.075  0.040  0
2043.22  17.062  0.020  0
2045.17  17.093  0.020  0
2047.10  17.101  0.030  0
2050.95  17.204  0.020  0
2058.71  17.465  0.020  0
2063.59  17.701  0.040  0
2068.40  17.891  0.030  0
2073.21  18.080  0.030  0
2074.24  18.175  0.050  0
2078.07  18.266  0.050  0
2137.23  19.390  0.080  1
