#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid K-correction
2020.83  16.721  0.010  0
2021.74  16.709  0.010  0
2022.89  16.620  0.020  0
2023.84  16.615  0.020  0
2024.82  16.623  0.020  0
2025.79  16.640  0.020  0
2026.73  16.639  0.020  0
2028.70  16.675  0.080  0
2030.63  16.714  0.020  0
2032.58  16.776  0.030  0
2037.43  16.918  0.030  0
2039.35  16.919  0.050  0
2041.23  17.061  0.050  0
2043.22  17.115  0.020  0
2045.17  17.237  0.030  0
2047.10  17.258  0.040  0
2050.95  17.366  0.030  0
2058.71  17.690  0.040  0
2063.59  17.952  0.070  0
2068.40  18.006  0.060  0
2073.21  18.111  0.070  0
2074.24  18.041  0.060  0
2078.07  18.121  0.070  0
2137.23  19.520  0.100  1
